"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.57756732188162,2.02071024423905,2.39387359379078,0.108492956766551
"lnalpha.c",1.64902592697288,2.09061090363717,2.54604767539537,0.106947787295944
"beta",0.135929223493878,0.197652023153581,0.253260994621005,0.151080438824834
"beta1",1.35929223493878e-05,1.97652023153581e-05,2.53260994621005e-05,0.151080438824834
"alpha",4.84325563182244,7.54368643159267,10.9561668508137,0.222574912589215
"alpha.c",5.20191032163753,8.08985981810573,12.756746818086,0.23085389293651
"Smsy_lambert",31311.6019876467,36490.6184813337,46234.2597785245,0.097606513087588
"Smsy_lambert.c",32002.6511666663,37363.1568606667,47640.3752648059,0.102599205651883
"Umsy_lambert",0.617231643408171,0.726017768429475,0.797388544749115,0.066180503823535
"Umsy_lambert.c",0.636646589873465,0.740729032200503,0.821707695222511,0.0625333466888029
"Smax",39495.5201989522,50593.9915473908,73577.3141447231,0.164999889162771
"Rmsy.c",117967.45945628,145629.514315745,189712.506537086,0.114218051595356
"Rmsy",108597.58836197,133205.813173015,168405.479667012,0.104695897054446
"Seq",93423.004116308,101191.938524004,119865.648902612,0.0640547818028517
"MSY",67402.9912824988,96280.0726434611,133733.375814594,0.165237884200145
"MSY.c",78723.9093911266,107098.820023253,157005.714940258,0.171535414623311
"Rmax.c",127704.805863617,151512.203364112,196110.574781274,0.100757131203408
"Rmax",118147.972397916,139853.853061038,172556.950983562,0.0892943275593679
