"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.52815080847583,1.98786205925034,2.42241333925719,0.113501872523701
"lnalpha.c",1.6198490123197,2.07291262045448,2.52422299383174,0.110729150044347
"beta",0.133969870859433,0.1989276405637,0.25879312028734,0.158650339046773
"beta1",1.33969870859433e-05,1.989276405637e-05,2.5879312028734e-05,0.158650339046773
"alpha",4.60964482238342,7.29991029171469,11.2730322718995,0.226843391121136
"alpha.c",5.05232745748282,7.94793877861678,12.4811954451319,0.234807971497204
"Smsy_lambert",30759.0727315898,36092.9935810095,45645.9806130159,0.103248801299547
"Smsy_lambert.c",31397.0674749438,37021.9492121541,47594.8049657874,0.109714408627431
"Umsy_lambert",0.603378345122549,0.718881844262333,0.802152844465075,0.0704463295832689
"Umsy_lambert.c",0.628809401808947,0.737064832174389,0.81838064516131,0.0658159064003022
"Smax",38640.9035592902,50269.5351677817,74643.6581670202,0.179142351302235
"Rmsy.c",117457.03724149,141637.181723536,180487.510920515,0.112281783430811
"Rmsy",106507.605466404,129479.489894883,160266.736123357,0.103329595301961
"Seq",90957.7916109684,100024.108083191,117525.453102132,0.0672347591050661
"MSY",65113.6265261354,92952.732098758,128228.840530102,0.167292004279244
"MSY.c",75294.5879175045,104192.050601606,146352.411601039,0.172077251053954
"Rmax.c",127059.726482093,148075.676174434,184030.792392174,0.0982525983792054
"Rmax",116870.016111132,136312.613582444,164428.135457371,0.0868034204918704
